id;street_address;postal_code;city;state_province
1;mindshare Interactions Versatile;Frozen Rubber line;Ricardobury;Sports withdrawal Architect
2;JSON supply-chains Pants;Berkshire Buckinghamshire;New Chadrick;override Kids Tasty
3;Awesome;index Berkshire;Margate;the
4;solution policy Grove;Bike Timor-Leste grow;New Shyannfurt;Toys contextually-based Sausages
5;National Soap;calculating Shoes;Tacoma;Shirt
6;USB;Dinar;Lake Luciebury;bus
7;National;Taka JBOD state;Douglaston;invoice
8;Administrator Borders Greece;Identity calculate bus;Lake Madgestad;boliviano
9;time-frame;Tasty Cuban;New Brennonstad;Orchestrator Dynamic Pound
10;firewall;Pizza;West Everett;transparent purple alarm
